Index,Album,Artist,Image,Country,Score,Release_Year,Duration,Genre
1,HIT ME HARD AND SOFT,BILLIE EILISH,img/1.JPG,ABD,40,2024,43,Electropop
2,KARA KONULAR,CAN BONOMO,img/2.JPG,TÜRKİYE,75,2024,42,Alt Rock
3,KAHIRLI  MERDİVEN,ADAMLAR,img/3.JPG,TÜRKİYE,77,2024,33,Alt Rock
4,THE AGE OF THE UNDERSTATEMENT,THE LAST SHADOW PUPPETS,img/4.JPG,İNGİLTERE,75,2008,35,Baroque Pop
5,CURRENTS,TAME IMPALA,img/5.JPG,AVUSTRALYA,54,2015,51
6,APAYRI,HANDE YENER,img/6.JPG,TÜRKİYE,53,2006,65
7,FAVOURITE WORST NIGHMARE,ARCTIC MONKEYS,img/7.JPG,İNGİLTERE,75,2007,38
8,EL CAMINO,THE BLACK KEYS,img/8.JPG,ABD,55,2011,38
9,THE SECRET OF US,GRACIE ABRAMS,img/9.JPG,ABD,31,2024,47
10,MÜKEMMEL BOŞLUK,REDD,img/10.JPG,TÜRKİYE,67,2016,49
11,ABBEY ROAD,THE BEATLES,img/11.JPG,TÜRKİYE,71,1969,47
12,1989 (TAYLOR'S VERSION),TAYLOR SWIFT,img/12.JPG,ABD,36,2023,81
13,ALTÜST,ATHENA,img/13.JPG,TÜRKİYE,77,2014,61
14,DISCOVERY,DAFT PUNK,img/14.JPG,FRANSA,64,2001,61
15,İÇİMDEKİ İZ,PEYK,img/15.JPG,TÜRKİYE,100,2011,36
16,NEVERMIND,NIRVANA,img/16.JPG,ABD,77,1991,49
17,ARRIVAL,ABBA,img/17.JPG,İSVEÇ,58,1976,41
18,3 AKORUN İNTİKAMI,KİLİNK,img/18.JPG,TÜRKİYE,92,2004,28
19,MOVING PICTURES,RUSH,img/19.JPG,TÜRKİYE,86,1981,40
20,KÖTÜ ŞEYLER,SON FECİ BİSİKLET,img/20.JPG,TÜRKİYE,80,2017,32
21,OLASI DANS ŞARKILARIMIZ,BEYAZ HAYVANLAR,img/21.JPG,TÜRKİYE,67,2025,34
22,TOXICITY,SYSTEM OF A DOWN,img/22.JPG,ABD,67,2001,44
23,PRINCESS OF POWER,MARINA,img/23.JPG,İNGİLTERE,92,2025,47
24,MANİFESTİVAL,MANİFEST,img/24.JPG,TÜRKİYE,55,2025,26
25,İSTANBUL SOKAKLARI,KRAMP,img/25.JPG,TÜRKİYE,55,1998,43
26,YENİDEN DOĞUŞ,HARDAL,img/26.JPG,TÜRKİYE,92,1999,49
27,KARMA,TARKAN,img/27.jpg,TÜRKİYE,67,2001,49
28,İNSANLIK HALLERİ,TEOMAN,img/28.jpg,TÜRKİYE,73,2009,52
29,HURRY UP WE'RE DREAMING,M83,img/29.jpg,FRANSA,45,2011,73
30,BİR İLERİ,BİRİLERİ,img/30.jpg,TÜRKİYE,88,2016,32
31,SEN GİBİ,NEV,img/31.jpg,TÜRKİYE,73,2004,47
32,TEA FOR THE TILLERMAN,CAT STEVENS,img/32.jpg,İNGİLTERE,55,1970,36
33,HAYAT,SAKİN,img/33.jpg,TÜRKİYE,73,2008,46
34,PUNK ÖLMEDİ AMA TUHAF KOKUYOR,ROBIN,img/34.jpg,TÜRKİYE,64,2025,21
35,L'ULTIMA FESTA,COSMO,img/35.jpg,İTALYA,50,2016,34
36,FEAR OF THE DARK (2015 REMASTER),IRON MAIDEN,img/36.jpg,İNGİLTERE,83,1992,58
37,Y.O.K.,ÇİLEKEŞ,img/37.jpeg,TÜRKİYE,64,2005,61
38,ELEPHANT,THE WHITE STRIPES,img/38.jpg,ABD,93,2003,50
39,AFİLLİ YALNIZLIK,EMRE AYDIN,img/39.webp,TÜRKİYE,80,2006,42
40,GOOD NEWS FOR PEOPLE WHO LOVES BAD NEWS,MODEST MOUSE,img/40.webp,ABD,44,2004,48
41,BLACK HOLES AND REVELATIONS,MODEST MOUSE,img/41.webp,İNGİLTERE,75,2006,50
42,22,MOTİVE,img/42.webp,TÜRKİYE,71,2022,19
43,MESAFE,SERDAR ORTAÇ,img/43.webp,TÜRKİYE,88,2006,79
44,BRAT,CHARLI XCX, img/44.webp,İNGİLTERE,73,2024,41
45,PABLO HONEY,RADIOHEAD,img/45.webp,İNGİLTERE,100,1993,42
46,TOURIST HISTORY,TWO DOORS CINEMA CLUB,img/46.webp,KUZEY İRLANDA,100,2010,32
47,AFTER HOURS,THE WEEKND,img/47.webp,KANADA,57,2020,56
48,MELOPHOBIA,CAGE THE ELEPHANT,img/48.webp,ABD,90,2013,37
49,PUBERTY 2,MITSKI,img/49.webp,ABD,73,2016,31
50,PROJE,ERDEM KINAY,img/50.webp,TÜRKİYE,n/a,2012,43
51,SAM'S TOWN,THE KILLERS,img/51.webp,ABD,n/a,2006,44
52,DANS İLLÜZYON,SOFT ANALOG,img/52.webp,TÜRKİYE,n/a,2023,31
